Id,Rarity Score,Rank,Background,Body,Shield,Weapon,Mouth,Eyes,Backpack,Headpiece
1,104.49,974,Solid-Yellow,Original-Cheese,Shield-tower,Scythe,Doinker-happy,Happy,,
2,124.01,831,Solid-Yellow,Strong-Cheese,Drink-orange,Middle-finger,Sad-mouth,Happy,Australia,
3,71.59,1088,Solid-Yellow,Original-Cheese,Soda-can,Axe,Closed-mouth,Not-Super-Clever,,Cowboy
4,90.74,1043,Solid-Green,Strong-Cheese,Heart,Torch,Not-amused,Regular,,Cowboy
5,136.85,732,Solid-Pink,Cheese-on-a-Stick,Baseball,Sword-kid,Happy-open,Crying,,Agent-black
6,115.97,889,Solid-Yellow,Strong-Cheese,Drink-orange,Torch,Doinker-sad,Regular,USA,Irish
7,95.22,1020,Solid-Pink,Original-Cheese,Baseball,Balloons,Doinker-happy,Shut-3,wingsBlue,
8,73.01,1085,Solid-Blue,Strong-Cheese,Card-clubs,Spatula,Doinker-sad,Happy,,
9,337.96,81,Solid-Pink,Original-Cheese,Card-spades,Magic-mushroom,Mustache,Tall,Japan,Irish
10,252.75,204,Solid-Yellow,Original-Cheese,Shield-tower,Magic-mushroom,Smirk,Out-cold,,Chef
11,180.13,452,Solid-Pink,Original-Cheese,Card-clubs,Spatula,Doinker,Out-cold,South-Africa,
12,222.45,282,Solid-Yellow,Original-Cheese,Heart,,Smile,Tall,Japan,Chef
13,138.18,719,Solid-Yellow,Original-Cheese,Apple-red,Pitchfork,Smile,Regular,Jetpack-Orange,Messy-hair
14,137.04,727,Solid-Pink,Original-Cheese,Apple-red,Spatula,Smirk,Regular,Italy,
15,280.89,156,Solid-Blue,Original-Cheese,Card-clubs,,Sad-mouth,Disapproval-Right,Brazil,Stovepipe
16,188.19,413,Solid-Pink,Original-Cheese,Heart,,Sad-mouth,Looking-Down-Right,Russia,Cap
17,298.77,121,Solid-Green,Original-Cheese,Drink-blue,Middle-finger,Surgical-mask,Regular,Jetpack-Horizontal,Flower
18,351.78,71,Solid-Green,Strong-Cheese,,Gun-green,Not-amused,Puppy-eyes,European-Union,Cap
19,172.36,495,Solid-Green,Original-Cheese,Soft-drink,Balloons,Pacifier-pink,Happy,Singapore,Halo-silver
20,197.97,372,Solid-Pink,Blue-Cheese,Shield-tower,,Closed-mouth,Looking-Down-Left,Argentina,Pink-punk
21,164.75,535,Solid-Pink,Original-Cheese,Baseball,Torch,Happy-open,Robin,,Cap
22,200.69,361,Solid-Pink,Strong-Cheese,Baseball,Sword-kid,Smile,Great-thinker,Great-Britain,
23,86.98,1056,Solid-Yellow,Original-Cheese,,,Doinker-happy,Dilated,,Messy-hair
24,137.18,724,Solid-Blue,Original-Cheese,Drink-blue,Torch,Sad-mouth,Not-Super-Clever,wingsPink,Joker
25,101.44,988,Solid-Green,Original-Cheese,Heart,,Doinker,Not-Super-Clever,New-Zealand,Joker
26,162.25,550,Solid-Yellow,Original-Cheese,Heart,Magic-mushroom,Open-mouth,Looking-Up-Left,Malaysia,Flower
27,197.07,379,Solid-Blue,Original-Cheese,,Axe,Mutt,Not-Super-Clever,Canada,Sombrero
28,158.66,577,Solid-Pink,Original-Cheese,Apple-green,Middle-finger,Sad-mouth,Regular,European-Union,Side-cut
29,110.74,930,Solid-Pink,Cheese-on-a-Stick,Card-diamonds,Torch,Doinker-happy,Not-Super-Clever,Bomb-bag,Side-cut
30,220.85,290,Solid-Blue,Original-Cheese,Drink-orange,,Smile,Looking-Down-Left,Denmark,Viking
31,169.4,508,Solid-Yellow,Original-Cheese,SNES-controller,Ice-cream,Doinker-happy,Shut-3,Belgium,Sombrero
32,290.84,137,Solid-Blue,Original-Cheese,Card-clubs,Magic-mushroom,Pacifier-green,Shut-3,Malaysia,Cowboy
33,288.64,141,Solid-Green,Strong-Cheese,Soda-can,Spatula,Pacifier-pink,Robin,Belgium,Cap-propeller
34,138.35,715,Solid-Green,Original-Cheese,Soda-can,Magic-mushroom,Doinker-happy,Happy,European-Union,Messy-hair
35,807.67,11,Solid-Pink,Original-Cheese,Diploma,Sword-adult,Doinker,Not-Super-Clever,Puerto-Rico,Halo-gold
36,230.98,255,Solid-Yellow,Strong-Cheese,Soft-drink,Sword-kid,Doinker,Not-Super-Clever,Kid-amused,Cap-propeller
37,209.09,334,Solid-Yellow,Original-Cheese,Drink-blue,Rupee-Blue,Pacifier-pink,Happy,Argentina,Halo-silver
38,105.19,966,Solid-Blue,Original-Cheese,Baseball,Axe,Closed-mouth,Happy,Denmark,Messy-hair
39,233.88,249,Solid-Pink,Original-Cheese,Drink-orange,Gun-red,Smirk,Regular,rainbowRoad,Sombrero
40,221,289,Solid-Green,Cheese-on-a-Stick,Shield-tower,Gun-green,Open-mouth,Regular,,Messy-hair
41,297.94,124,Solid-Pink,Original-Cheese,Drink-blue,Spatula,Cigarette,Tall,Russia,Joker
42,153.92,607,Solid-Pink,Cheese-on-a-Stick,Soda-can,Rupee-Red,Smile,Shut-1,,Halo-silver
43,323.63,91,Solid-Green,Original-Cheese,Bible,Sword-kid,Tongue,Puppy-eyes,Italy,
44,228.54,264,Solid-Green,Original-Cheese,Card-diamonds,Gun-green,Doinker-sad,Regular,USA,Straw-hat
45,164.21,536,Solid-Green,Original-Cheese,Soda-can,Gun-red,Doinker-happy,Looking-Up-Right,,Crown
46,128.02,798,Solid-Yellow,Original-Cheese,Soda-can,,Smirk,Happy,Turkey,Unicorn
47,87.42,1055,Solid-Green,Original-Cheese,Card-clubs,Axe,Doinker-sad,Not-Super-Clever,Denmark,
48,108.88,943,Solid-Green,Original-Cheese,Card-diamonds,Axe,Happy-open,Not-Super-Clever,,Stovepipe
49,141.1,694,Solid-Pink,Original-Cheese,Apple-red,Axe,Doinker,Crying,Denmark,
50,125.71,815,Solid-Green,Original-Cheese,,Nemo,Closed-mouth,Not-Super-Clever,South-Africa,Horns
51,182.51,443,Solid-Green,Original-Cheese,Soda-can,Nemo,Pacifier-pink,Shut-1,Germany,Side-cut
52,171.59,499,Solid-Pink,Original-Cheese,,Balloons,Doinker-happy,Crossed-1,Denmark,Sombrero
53,155.88,595,Solid-Green,Original-Cheese,Drink-blue,Nemo,Smile,Looking-Up-Right,,Headband
54,132.94,757,Solid-Blue,Original-Cheese,,Torch,Closed-mouth,Looking-Up-Right,Japan,Flower
55,104.38,976,Solid-Yellow,Original-Cheese,Card-clubs,Magic-mushroom,Sad-mouth,Happy,wingsBlue,Messy-hair
56,160.93,561,Solid-Pink,Cheese-on-a-Stick,SNES-controller,Axe,Open-mouth,Tall,,Pink-punk
57,107.91,949,Solid-Pink,Original-Cheese,Apple-green,Magic-mushroom,Happy-open,Shut-3,,Police-hat
58,131.42,770,Solid-Pink,Original-Cheese,SNES-controller,Gun-red,Doinker,Not-Super-Clever,Puerto-Rico,Messy-hair
59,204.73,349,Solid-Green,Strong-Cheese,Card-clubs,Spatula,Doinker,Shut-4,,Chef
60,246.91,214,Solid-Pink,Original-Cheese,Soda-can,Katana-wrong,Doinker,Happy,Jetpack-Blue,
61,230.81,256,Solid-Green,Original-Cheese,Drink-blue,Rupee-Red,Doinker,Shut-3,Australia,Pink-punk
62,107.58,952,Solid-Pink,Cheese-on-a-Stick,Apple-green,Gun-red,Doinker-happy,Not-Super-Clever,wingsBlue,Messy-hair
63,266.44,174,Solid-Pink,Strong-Cheese,Shield-tower,Katana,Smirk,Shut-4,Belgium,Side-cut
64,214.95,316,Solid-Yellow,Original-Cheese,Soda-can,Axe,Closed-mouth,Regular,Great-Britain,Axe-in-skull
65,138.86,712,Solid-Blue,Original-Cheese,Soft-drink,Middle-finger,Doinker,Dilated,Jetpack-Orange,Straw-hat
66,124.34,829,Solid-Pink,Strong-Cheese,Apple-green,Nemo,Doinker,Not-Super-Clever,El-Salvador,Side-cut
67,291.82,132,Solid-Blue,Original-Cheese,SNES-controller,Coin,Happy-open,Wizard,Belgium,
68,116,888,Solid-Green,Strong-Cheese,,Spatula,Doinker-happy,Regular,China,Halo-silver
69,232.42,251,Solid-Pink,Original-Cheese,Diploma,Baseball-bat,Doinker,Crying,Singapore,Cowboy
70,147.39,653,Solid-Pink,Original-Cheese,Soft-drink,Pitchfork,Pacifier-pink,Round-glasses,Bomb-bag,
71,135.13,738,Solid-Blue,Original-Cheese,Soft-drink,,Closed-mouth,Shut-4,Brazil,Irish
72,197.6,376,Solid-Pink,Original-Cheese,Soda-can,Gun-red,Doinker,Regular,Great-Britain,Cap-reversed
73,120.54,858,Solid-Green,Original-Cheese,Drink-orange,Torch,Doinker-happy,Shut-4,Australia,Side-cut
74,273.44,165,Solid-Pink,Original-Cheese,Fries,Torch,Pacifier-pink,Puppy-eyes,Fork,Agent-brown
75,114.65,902,Solid-Pink,Blue-Cheese,Soft-drink,,Doinker-happy,Shut-3,Jetpack-Orange,Sombrero
76,245.81,217,Solid-Blue,Original-Cheese,,Spatula,Happy-open,Looking-Up-Left,Bomb-bag-lit,Irish
77,246.76,215,Solid-Yellow,Original-Cheese,Heart,Middle-finger,Smirk,Puppy-eyes,Turkey,Crown
78,203.89,354,Gradient5,Original-Cheese,Card-diamonds,Axe,Happy-open,Looking-Up-Left,Jetpack-Orange,Agent-brown
79,180.18,451,Solid-Pink,Cheese-on-a-Stick,Card-hearts,Rupee-Blue,Doinker-sad,Regular,Brazil,Police-hat
80,351,72,Solid-Pink,Original-Cheese,Drink-orange,Torch,Pacifier-green,Great-thinker,China,Oriental-hat
81,204.3,352,Solid-Yellow,Original-Cheese,Baseball,Rupee-Green,Mutt,Not-Super-Clever,Argentina,
82,104.89,967,Solid-Blue,Original-Cheese,Heart,,Smirk,Not-Super-Clever,El-Salvador,Horns
83,383.96,52,Solid-Blue,Original-Cheese,Nipples,,Smile,Out-cold,Brazil,Joker
84,263.25,180,Gradient5,Original-Cheese,Soda-can,Gun-red,Happy-super,Shut-2,wingsPink,Unicorn
85,124.26,830,Solid-Pink,Original-Cheese,Heart,Torch,Smirk,Not-Super-Clever,Sweden,Irish
