Id,Rarity Score,Rank,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
0,129.59,2518,3,Female,Female-Mid,Blonde Bob,Green Eye Shadow,,,,,,,Earring
1,84.74,7092,2,Male,Male-Dark,Mohawk,,,,,,Smile,,
2,74.86,8451,1,Female,Female-Light,Wild Hair,,,,,,,,
3,88.45,6714,3,Male,Male-Dark,Wild Hair,Nerd Glasses,,,,Pipe,,,
4,98.82,5503,4,Male,Male-Mid,Wild Hair,Big Shades,Goat,,,,,,Earring
5,130.85,2422,3,Female,Female-Mid,Half Shaved,Purple Eye Shadow,,,,,,,Earring
6,81.52,7480,1,Male,Male-Mid,Do-rag,,,,,,,,
7,201.04,608,3,Female,Female-Mid,Wild White Hair,Clown Eyes Blue,,Spots,,,,,
8,76.55,8219,2,Male,Male-Dark,Messy Hair,,Luxurious Beard,,,,,,
9,182.75,753,3,Male,Male-Mid,Police Cap,,Big Beard,,,,,Clown Nose,
10,83.34,7275,2,Female,Female-Dark,Mohawk,Blue Eye Shadow,,,,,,,
11,130.53,2448,3,Female,Female-Mid,Straight Hair Dark,Clown Eyes Green,,,,,Black Lipstick,,
12,117.06,3622,2,Female,Female-Dark,Blonde Short,,,,,,Purple Lipstick,,
13,125.14,2884,3,Female,Female-Light,Straight Hair Blonde,Big Shades,,,,,Black Lipstick,,
14,253.58,284,3,Female,Female-Dark,Pilot Helmet,,,,,Pipe,Hot Lipstick,,
15,103.95,4985,3,Male,Male-Albino,Wild Hair,Regular Shades,Luxurious Beard,,,,,,
16,68.63,8986,3,Male,Male-Mid,Stringy Hair,Small Shades,,,,,,,Earring
17,80.61,7572,2,Male,Male-Light,Mohawk,,,,,,Frown,,
18,124.67,2928,2,Male,Male-Mid,,Eye Mask,Muttonchops,,,,,,
19,74.99,8435,3,Female,Female-Dark,Bandana,Horned Rim Glasses,,,,,Hot Lipstick,,
20,72.33,8677,1,Male,Male-Light,Crazy Hair,,,,,,,,
21,62.23,9489,3,Male,Male-Light,Messy Hair,Classic Shades,,,,,,,Earring
22,224.73,418,2,Female,Female-Dark,Pilot Helmet,,,,,,Purple Lipstick,,
23,92.93,6208,3,Male,Male-Light,Do-rag,,Handlebars,,,,,,Earring
24,84.94,7066,2,Male,Male-Light,Mohawk Dark,,,,,,Smile,,
25,126.37,2775,1,Female,Female-Dark,Wild White Hair,,,,,,,,
26,115.97,3732,1,Female,Female-Mid,Dark Hair,,,,,,,,
